School_Year,LEA_Name,School_Name,LEA_Code,School_Code,LEA_ID_NCES,School_Type_State,School_Type_NCES,Web_Site,Charter_Status,SY_Start_School_Opp_Status,School_Address_Mailing_2,School_City,ZIP_Code_Mailing,School_Address_Location_1,School_Address_Location_2,School_ZIP_Code_Location,PreK_3,Prek_4,Preschool,Kindergarten,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Ungraded,No_Grade,Grade_Adult,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_WARD,MAR_CENSUS_TRACT,MAR_ZIPCODE,MARID,MAR_SCORE,MAR_SOURCEOPERATION,MAR_IGNORE
2012-2013,KIPP DC PCS,KIPP DC LEAP Academy PCS,129,132,1100031,Regular school,Regular School,www.kippdc.org,Yes,Open,NULL,Washington,20019,4801 Benning Rd SE,NULL,20019,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4801 BENNING ROAD SE,405692.28000000,134978.83000000,38.88262754,-76.93439427,Ward 7,009907,20019,17421,100.00000000,DC Address,
2012-2013,Maya Angelou PCS,Maya Angelou Middle Campus PCS,133,133,1100014,Regular school,Regular School,www.seeforever.org,Yes,Open,NULL,Washington,20019,5600 East Capitol Street NE,1st Floor,20019,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,5600 EAST CAPITOL STREET NE,406885.34000000,135830.53000000,38.89029144,-76.92063526,Ward 7,007808,20019,289793,100.00000000,DC Address,
2012-2013,Ideal Academy PCS,Ideal Academy PCS North Capitol Street Campus ES,127,134,1100012,Regular school,Regular School,www.iapcs.com,Yes,Open,NULL,Washington,20011,6130 N Capitol St NW,NULL,20011,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,6130 NORTH CAPITOL STREET NW,399139.13000000,144111.98000000,38.96491986,-77.00993332,Ward 4,001702,20011,285311,100.00000000,DC Address,
2012-2013,Mary McLeod Bethune  PCS,Mary McLeod Bethune Day Academy PCS Slowe Campus,132,135,1100044,Regular school,Regular School,www.mmbethunepcs.org,Yes,Open,NULL,Washington,20017,1404 Jackson Street NE,NULL,20017,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,1404 JACKSON STREET NE,401138.94000000,140191.85000000,38.92960592,-76.98686463,Ward 5,009301,20017,294522,100.00000000,DC Address,
2012-2013,Early Childhood Academy PCS,Early Childhood Academy PCS Johenning Campus,118,138,1100057,Regular school,Regular School,www.ecapcs.org,Yes,Open,NULL,Washington,20032,4025 9th St SE,NULL,20032,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,4025 9TH STREET SE,400822.11000000,129329.27000000,38.83175194,-76.99053162,Ward 8,009700,20032,278471,100.00000000,DC Address,
2012-2013,AppleTree Early Learning Center PCS,AppleTree Early Learning Center PCS Amidon,103,139,1100054,Regular school,Regular School,www.appletreeinstitute.org,Yes,Open,NULL,Washington,20024,401 I Street SW,NULL,20024,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,401 I STREET SW,398427.29000000,134631.47000000,38.87951540,-77.01812530,Ward 6,010200,20024,294482,100.00000000,DC Address,
2012-2013,AppleTree Early Learning Center PCS,AppleTree Early Learning Center PCS Columbia Heights,103,140,1100054,Regular school,Regular School,www.appletreeinstitute.org,Yes,Open,NULL,Washington,20009,2750 14th Street NW,NULL,20009,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2750 14TH STREET NW,397160.68000000,139708.07000000,38.92524403,-77.03274382,Ward 1,003700,20009,297626,100.00000000,DC Address,
2012-2013,AppleTree Early Learning Center PCS,AppleTree Early Learning Center PCS Riverside,103,141,1100054,Regular school,Regular School,www.appletreeinstitute.org,Yes,Open,NULL,Washington,20024,680 I Street SW,NULL,20024,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,680 I STREET SW,398098.08000000,134559.17000000,38.87886344,-77.02191921,Ward 6,010200,20024,276717,100.00000000,DC Address,
2012-2013,Bridges PCS,Bridges PCS,107,142,1100055,Regular school,Regular School,www.bridgespcs.org,Yes,Open,NULL,Washington,20011,1250 Taylor St NW,NULL,20011,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1250 TAYLOR STREET NW,397518.47000000,141401.50000000,38.94050005,-77.02862381,Ward 4,002502,20011,224852,100.00000000,DC Address,
2012-2013,E.L. Haynes PCS,E L  Haynes PCS Georgia Avenue,116,146,1100043,Regular school,Regular School,www.elhaynes.org,Yes,Open,NULL,Washington,20010,3600 Georgia Ave. NW,NULL,20010,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,3600 GEORGIA AVENUE NW,397898.05000000,140715.53000000,38.93432162,-77.02424335,Ward 1,003100,20010,306085,100.00000000,DC Address,
2012-2013,Booker T. Washington PCS,Booker T  Washington PCS,106,151,1100003,Regular school,Regular School,www.btwschool.org,Yes,Open,NULL,Washington,20009,1346 Florida Av NW,NULL,20009,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,1346 FLORIDA AVENUE NW,397295.64000000,139117.57000000,38.91992504,-77.03118509,Ward 1,004400,20009,240288,100.00000000,DC Address,
2012-2013,Cesar Chavez PCS,Cesar Chavez Capitol Hill PCS,109,153,1100005,Regular school,Regular School,www.chavezschools.org,Yes,Open,NULL,Washington,20003,709 12th St SE,NULL,20003,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,709 12TH STREET SE,400812.11000000,134762.27000000,38.88069473,-76.99064037,Ward 6,007100,20003,76726,100.00000000,DC Address,
2012-2013,Friendship PCS,Friendship PCS Chamberlain,120,155,1100008,Regular school,Regular School,www.friendshipschools.org,Yes,Open,NULL,Washington,20003,1345 Potomac Avenue SE,NULL,20003,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,1345 POTOMAC AVENUE SE,401145.15000000,134616.92000000,38.87938499,-76.98680230,Ward 6,007100,20003,66334,100.00000000,DC Address,
2012-2013,Friendship PCS,Friendship PCS Woodridge Campus,120,156,1100008,Regular school,Regular School,www.friendshipschools.org,Yes,Open,NULL,Washington,20018,2959 Carlton Avenue NE,NULL,20018,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,2959 CARLTON AVENUE NE,402903.45000000,140185.72000000,38.92954664,-76.96651460,Ward 5,011100,20018,42808,100.00000000,DC Address,
2012-2013,Friendship PCS,Friendship PCS Blow Pierce,120,157,1100008,Regular school,Regular School,www.friendshipschools.org,Yes,Open,NULL,Washington,20002,725 19th St  NE,NULL,20002,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,725 19TH STREET NE,402040.17000000,136663.58000000,38.89782045,-76.97648125,Ward 7,007903,20002,288919,100.00000000,DC Address,
2012-2013,Community Academy PCS,Community Academy Amos II,113,158,1100007,Regular school,Regular School,www.capcs.org,Yes,Open,NULL,Washington,20011,33 Riggs Rd NE,NULL,20011,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,33 RIGGS ROAD NE,399424.65000000,143002.17000000,38.95492264,-77.00663786,Ward 5,009508,20011,155991,100.00000000,DC Address,
2012-2013,Elsie Whitlow Stokes Communtiy Freedom PCS,Elsie Whitlow Stokes Communtiy Freedom PCS,144,159,1100009,Regular school,Regular School,www.ewstokes.org,Yes,Open,NULL,Washington,20017,3700 Oakview Terrace NE,NULL,20017,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,3700 OAKVIEW TERRACE NE,400859.44000000,140789.48000000,38.93498987,-76.99008735,Ward 5,009504,20017,289754,100.00000000,DC Address,
2012-2013,Hospitality PCS,Hospitality PCS,122,160,1100010,Vocational Shared Time,Regular School,www.washingtonhospitality.org,Yes,Open,3rd Floor,Washington,20011,4301 13th Street NW,3rd Floor,20011,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,4301 13TH STREET NW,397468.88000000,141682.30000000,38.94302943,-77.02919685,Ward 4,002501,20011,252605,100.00000000,DC Address,
2012-2013,Perry Street Prep PCS,Perry Street Prep PCS,125,161,1100011,Regular school,Regular School,www.pspdc.org,Yes,Open,NULL,Washington,20018,1800 Perry Street NE,NULL,20018,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,1800 PERRY STREET NE,401855.75000000,140990.20000000,38.93679648,-76.97859551,Ward 5,009400,20018,294529,100.00000000,DC Address,
2012-2013,Integrated Design Electronics Academy (IDEA) PCS,Integrated Design Electronics Academy IDEA PCS,126,163,1100013,Vocational Shared Time,Regular School,www.ideapcs.org,Yes,Open,NULL,Washington,20019,1027 45th St NE,NULL,20019,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,1027 45TH STREET NE,405455.53000000,137412.11000000,38.90454891,-76.93710358,Ward 7,007806,20019,75296,100.00000000,DC Address,
2012-2013,Meridian PCS,Meridian PCS,135,165,1100015,Regular school,Regular School,https://mpcs.learningstation.com/school,Yes,Open,NULL,Washington,20009,2120 13th St NW,NULL,20009,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,2120 13TH STREET NW,397402.40000000,138987.03000000,38.91874942,-77.02995351,Ward 1,004400,20009,310205,100.00000000,DC Address,
2012-2013,The Next Step PCS,The Next Step PCS,145,168,1100017,Regular school,Regular School,www.nextsteppcs.org,Yes,Open,NULL,Washington,20009,3047 15th St NW,NULL,20009,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,3047 15TH STREET NW,396892.23000000,140071.02000000,38.92851269,-77.03584130,Ward 1,002802,20009,243343,100.00000000,DC Address,
2012-2013,Options PCS,Options PCS,137,169,1100018,Regular school,Regular School,www.optionsschool.org,Yes,Open,NULL,Washington,20002,1375 E Street NE,NULL,20002,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,1375 E STREET NE,401195.97000000,136444.70000000,38.89585026,-76.98621343,Ward 6,008001,20002,286107,100.00000000,DC Address,
2012-2013,Paul PCS,Paul JHS PCS,138,170,1100039,Regular school,Regular School,www.paulcharter.org,Yes,Open,NULL,Washington,20011,5800 8th Street NW,NULL,20011,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,5800 8TH STREET NW,397857.27000000,143717.65000000,38.96136545,-77.02472307,Ward 4,001901,20011,294613,100.00000000,DC Address,
2012-2013,Roots PCS,Roots PCS,140,173,1100020,Regular school,Regular School,www.rootspcs.org,Yes,Open,NULL,Washington,20011,15 Kennedy St NW,NULL,20011,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,15 KENNEDY STREET NW,399106.42000000,143217.68000000,38.95686375,-77.01030958,Ward 4,002102,20011,259404,100.00000000,DC Address,
2012-2013,School for Educational Evolution and Development (SEED) PCS,School for Educational Evolution and Development (SEED) PCS,142,174,1100022,Regular school,Regular School,www.seedschooldc.org,Yes,Open,NULL,Washington,20019,4300 C Street SE,NULL,20019,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,4300 C STREET SE,404658.72000000,135477.99000000,38.88713024,-76.94630306,Ward 7,007703,20019,288154,100.00000000,DC Address,
2012-2013,Washington Math Science & Technology (WMST) PCS,Washington Math Science Tech PCS,152,178,1100026,Regular school,Regular School,www.wmstpchs.net,Yes,Open,NULL,Washington,20002,1920 Bladensburg Road NE,NULL,20002,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,1920 BLADENSBURG ROAD NE,402273.07000000,138728.17000000,38.91641842,-76.97378958,Ward 5,011100,20002,286539,100.00000000,DC Address,
2012-2013,Arts and Technology PCS,Arts and Technology PCS,104,181,1100001,Regular school,Regular School,www.artstechacademy.org,Yes,Open,NULL,Washington,20019,5300 Blaine Street NE,NULL,20019,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,5300 BLAINE STREET NE,406537.33000000,136014.15000000,38.89194821,-76.92464490,Ward 7,007808,20019,304054,100.00000000,DC Address,
2012-2013,Tree of Life PCS,Tree of Life Community PCS,147,183,1100040,Regular school,Regular School,www.treeoflifepcs.org,Yes,Open,NULL,Washington,20018,2315 18th Pl NE,NULL,20018,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,2315 18TH PLACE NE,401921.82000000,139212.16000000,38.92077920,-76.97783843,Ward 5,011100,20018,48796,100.00000000,DC Address,
2012-2013,Capital City PCS,Capital City Lower PCS,108,184,1100035,Regular school,Regular School,www.ccpcs.org,Yes,Open,NULL,Washington,20011,100 Peabody St NW,NULL,20011,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,100 PEABODY STREET NW,398884.80000000,143806.18000000,38.96216486,-77.01286745,Ward 4,001902,20011,277545,100.00000000,DC Address,
2012-2013,Friendship PCS,Friendship PCS Woodson Collegiate Academy,120,186,1100008,Vocational Shared Time,Regular School,www.friendshipschools.org,Yes,Open,NULL,Washington,20019,4095 Minnesota Avenue NE,NULL,20019,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,4095 MINNESOTA AVENUE NE,404654.26000000,136634.64000000,38.89754980,-76.94634663,Ward 7,007803,20019,288100,100.00000000,DC Address,
2012-2013,Howard Road Academy PCS,Howard Road Academy PCS   Main Campus,123,188,1100029,Regular school,Regular School,www.HowardRoadAcademy.org,Yes,Open,NULL,Washington,20020,701 Howard Road SE,NULL,20020,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,701 HOWARD ROAD SE,400069.95000000,132932.97000000,38.86421603,-76.99919401,Ward 8,007401,20020,300872,100.00000000,DC Address,
2012-2013,KIPP DC PCS,KIPP DC KEY Academy PCS,129,189,1100031,Regular school,Regular School,www.kippdc.org,Yes,Open,NULL,Washington,20019,4801 Benning Rd SE,NULL,20019,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,4801 BENNING ROAD SE,405692.28000000,134978.83000000,38.88262754,-76.93439427,Ward 7,009907,20019,17421,100.00000000,DC Address,
2012-2013,Thurgood Marshall Academy PCS,Thurgood Marshall Academy PCS,146,191,1100034,Regular school,Regular School,www.thurgoodmarshallacademy.org,Yes,Open,NULL,Washington,20020,2427 Martin Luther King Jr Av SE,NULL,20020,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,2427 MARTIN LUTHER KING JR AVENUE SE,400548.01000000,132717.75000000,38.86227707,-76.99368577,Ward 8,007401,20020,278159,100.00000000,DC Address,
2012-2013,Latin American Montessori Bilingual (LAMB) PCS,Latin American Montessori Bilingual (LAMB) PCS,130,193,1100032,Regular school,Regular School,www.lambpcs.org,Yes,Open,NULL,Washington,20011,1375 Missouri Ave NW,NULL,20011,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,1375 MISSOURI AVENUE NW,397192.03000000,143806.16000000,38.96216089,-77.03239905,Ward 4,001804,20011,284010,100.00000000,DC Address,
2012-2013,Eagle Academy PCS,Eagle Center,117,195,1100049,Regular school,Regular School,www.eagleacademypcs.org,Yes,Open,NULL,Washington,20032,3400 Wheeler Rd SE,NULL,20032,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,3400 WHEELER ROAD SE,400604.46000000,130274.71000000,38.84026907,-76.99303750,Ward 8,007304,20032,294566,100.00000000,DC Address,
2012-2013,D.C. Preparatory Academy PCS,D C  Preparatory Edgewood Middle Campus PCS,115,196,1100048,Regular school,Regular School,www.dcprep.org,Yes,Open,NULL,Washington,20017,701 Edgewood St NE,NULL,20017,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,701 EDGEWOOD STREET NE,400346.07000000,139651.51000000,38.92473904,-76.99600905,Ward 5,009204,20017,289579,100.00000000,DC Address,
2012-2013,Two Rivers PCS,Two Rivers PCS,149,198,1100045,Regular school,Regular School,www.tworiverspcs.org,Yes,Open,NULL,Washington,20002,1227 4th Street NE,NULL,20002,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,1227 4TH STREET NE,399974.01000000,137654.97000000,38.90675361,-77.00029965,Ward 6,010600,20002,306605,100.00000000,DC Address,
2012-2013,D.C. Bilingual PCS,D C  Bilingual PCS,114,199,1100042,Regular school,Regular School,www.dcbilingual.org,Yes,Open,NULL,Washington,20009,1420 Columbia Rd NW,NULL,20009,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,1420 COLUMBIA ROAD NW,397111.88000000,139924.73000000,38.92719562,-77.03330750,Ward 1,002802,20009,234355,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Aiton ES,1,202,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20019,533 48th Pl  NE,NULL,20019,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,533 48TH PLACE NE,405751.28000000,136574.53000000,38.89700181,-76.93370092,Ward 7,007804,20019,294490,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Amidon Bowen  ES,1,203,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20024,401 Eye St  SW,NULL,20024,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,401 I STREET SW,398427.29000000,134631.47000000,38.87951540,-77.01812530,Ward 6,010200,20024,294482,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Bancroft ES,1,204,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20010,1755 Newton St  NW,NULL,20010,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,1755 NEWTON STREET NW,396483.93000000,140715.67000000,38.93431836,-77.04055344,Ward 1,002701,20010,294528,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Barnard ES,1,205,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20011,430 Decatur St  NW,NULL,20011,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,430 DECATUR STREET NW,398458.99000000,142259.46000000,38.94823095,-77.01777708,Ward 4,002202,20011,248305,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Beers ES,1,206,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20020,3600 Alabama Ave  SE,NULL,20020,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,3600 ALABAMA AVENUE SE,403852.94000000,132948.76000000,38.86434984,-76.95560475,Ward 7,007604,20020,278406,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Brent ES,1,212,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20003,301 North Carolina Ave  SE,NULL,20003,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,301 NORTH CAROLINA AVENUE SE,399873.34000000,135218.08000000,38.88480121,-77.00145985,Ward 6,006500,20003,294479,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Brightwood EC,1,213,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20011,1300 Nicholson St  NW,NULL,20011,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,1300 NICHOLSON STREET NW,397340.19000000,143625.70000000,38.96053573,-77.03068885,Ward 4,002001,20011,294515,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Burroughs EC,1,220,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20018,1820 Monroe St  NE,NULL,20018,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,1820 MONROE STREET NE,401867.90000000,140624.56000000,38.93350266,-76.97845637,Ward 5,009400,20018,294530,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Burrville ES,1,221,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20019,801 Division Ave  NE,NULL,20019,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,801 DIVISION AVENUE NE,406552.65000000,136970.78000000,38.90056577,-76.92445918,Ward 7,007807,20019,289787,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Cleveland ES,1,224,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20001,1825 8th St  NW,NULL,20001,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,1825 8TH STREET NW,398030.71000000,138586.76000000,38.91514529,-77.02270718,Ward 1,004400,20001,294531,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,H D Cooke ES,1,227,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20009,2525 17th St NW,NULL,20009,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,2525 17TH STREET NW,396634.55000000,139563.86000000,38.92394309,-77.03881058,Ward 1,003800,20009,235863,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Davis ES,1,229,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20019,4430 H St  SE,NULL,20019,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,4430 H STREET SE,405412.99000000,134583.53000000,38.87906828,-76.93761631,Ward 7,007707,20019,294598,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Drew ES,1,231,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20019,5600 Eads St  NE,NULL,20019,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,5600 EADS STREET NE,406946.23000000,136463.61000000,38.89599397,-76.91992701,Ward 7,007807,20019,277686,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Eaton ES,1,232,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20008,3301 Lowell St  NW,NULL,20008,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,3301 LOWELL STREET NW,394293.04000000,140540.30000000,38.93272707,-77.06582114,Ward 3,000600,20008,294562,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Garfield ES,1,238,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20020,2435 Alabama Ave  SE,NULL,20020,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,2435 ALABAMA AVENUE SE,402534.22000000,131547.71000000,38.85173338,-76.97080478,Ward 8,007408,20020,278160,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Garrison ES,1,239,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20009,1200 S St  NW,NULL,20009,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,1200 S STREET NW,397518.52000000,138448.81000000,38.91390129,-77.02861256,Ward 2,005001,20009,294509,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Hardy MS,1,246,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20007,1819 35th St  NW,NULL,20007,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,1819 35TH STREET NW,394049.46000000,138629.13000000,38.91550903,-77.06861390,Ward 2,000202,20007,274432,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,C W  Harris ES,1,247,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20019,301 53rd St  SE,NULL,20019,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,301 53RD STREET SE,406410.50000000,135087.20000000,38.88359883,-76.92611550,Ward 7,009905,20019,289801,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Hendley ES,1,249,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20032,425 Chesapeake St  SE,NULL,20032,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,425 CHESAPEAKE STREET SE,400070.78000000,129022.18000000,38.82898591,-76.99918485,Ward 8,009811,20032,24445,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Houston ES,1,251,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20019,1100 50th Pl  NE,NULL,20019,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,1100 50TH PLACE NE,406076.15000000,137508.74000000,38.90541532,-76.92994765,Ward 7,007806,20019,156316,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Hyde Addison ES,1,252,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20007,3219 O St  NW,NULL,20007,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,3219 O STREET NW,394402.37000000,137797.48000000,38.90801957,-77.06453782,Ward 2,000202,20007,294558,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Janney ES,1,254,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20016,4130 Albemarle St  NW,NULL,20016,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,4130 ALBEMARLE STREET NW,392978.88000000,142186.88000000,38.94755042,-77.08099483,Ward 3,001001,20016,285713,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Kenilworth ES,1,256,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20019,1300 44th St NE,NULL,20019,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,1300 44TH STREET NE,405161.97000000,137820.44000000,38.90822907,-76.94048494,Ward 7,009601,20019,294516,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Ketcham ES,1,257,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20020,1919 15th St  SE,NULL,20020,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,1919 15TH STREET SE,401421.44000000,133135.87000000,38.86604269,-76.98362116,Ward 8,007503,20020,286537,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Hearst ES,1,258,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20008,3950 37th St  NW,NULL,20008,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,3950 37TH STREET NW,393761.89000000,141428.28000000,38.94072265,-77.07195522,Ward 3,000600,20008,294586,100.00000000,DC Address,
2012-2013,District of Columbia Public Schools,Kimball ES,1,259,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20019,3375 Minnesota Ave  SE,NULL,20019,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,3375 MINNESOTA AVENUE SE,403681.18000000,135028.21000000,38.88308309,-76.95757271,Ward 7,009901,20019,294565,100.00000000,DC Address,
